                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9897,                 34.273,                  4.925,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8365,                 105.47,                 2.0796,              5.383e-05,              5.383e-05,              5.383e-05
                      2,                 3.7455,                 16.659,                 5.1768,                  2e-05,                0.01786,                  2e-05,                      0,                 1.8369,                  105.6,                 2.0798,             0.00010393,             0.00010393,             0.00010393
                      3,                 3.2959,                  16.55,                 4.9179,                  4e-05,                0.05952,                  3e-05,                      0,                 1.8378,                 105.71,                 2.0802,             0.00014185,             0.00014185,             0.00014185
                      4,                 3.0214,                 14.817,                 4.3126,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8394,                 105.76,                 2.0808,             0.00016759,             0.00016759,             0.00016759
                      5,                 3.1497,                 18.038,                 3.7646,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8417,                 105.39,                 2.0817,             0.00018115,             0.00018115,             0.00018115
                      6,                 3.0643,                 13.989,                 3.8322,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8452,                 104.53,                 2.0831,             0.00018252,             0.00018252,             0.00018252
                      7,                 2.9491,                 21.066,                 3.8753,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8492,                 103.41,                 2.0848,             0.00017172,             0.00017172,             0.00017172
                      8,                 3.4559,                  13.39,                 4.5253,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8539,                 101.79,                 2.0875,             0.00014873,             0.00014873,             0.00014873
                      9,                 2.8782,                 13.219,                 3.8041,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8591,                 99.852,                 2.0902,             0.00011357,             0.00011357,             0.00011357
                     10,                 3.5033,                 12.821,                 4.2627,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8615,                  99.06,                 2.0918,             6.6219e-05,             6.6219e-05,             6.6219e-05
