                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1612,                 12.387,                 4.6299,                  2e-05,                0.01786,                  2e-05,                  1e-05,                 1.8366,                 105.47,                 2.0796,              5.383e-05,              5.383e-05,              5.383e-05
                      2,                 3.5779,                 9.6256,                 4.7844,                  2e-05,                0.01786,                  3e-05,                  1e-05,                 1.8372,                 105.68,                 2.0798,             0.00010964,             0.00010964,             0.00010964
                      3,                  3.906,                 9.5334,                 4.5167,                  2e-05,                0.01786,                  2e-05,                      0,                 1.8376,                  105.8,                 2.0799,             0.00015936,             0.00015936,             0.00015936
                      4,                 3.3231,                 12.077,                 4.0397,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8381,                 105.86,                 2.0797,             0.00020299,             0.00020299,             0.00020299
                      5,                 3.4217,                 9.2694,                 4.3572,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8382,                 105.39,                 2.0794,             0.00024053,             0.00024053,             0.00024053
                      6,                 3.8239,                 9.9027,                 4.2548,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8381,                 104.07,                 2.0795,             0.00027198,             0.00027198,             0.00027198
                      7,                 3.4902,                 11.643,                 3.7409,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8379,                 101.83,                 2.0798,             0.00029733,             0.00029733,             0.00029733
                      8,                  2.947,                 10.958,                 3.6694,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8392,                 98.158,                  2.081,              0.0003166,              0.0003166,              0.0003166
                      9,                 2.9971,                 8.6422,                 3.6522,                  2e-05,                0.01786,                  1e-05,                      0,                  1.842,                 93.732,                 2.0822,             0.00032978,             0.00032978,             0.00032978
                     10,                 3.5473,                 9.3061,                 4.0565,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8442,                 91.313,                 2.0839,             0.00033686,             0.00033686,             0.00033686
                     11,                 3.9351,                 15.863,                 4.1176,                  2e-05,                0.04167,                  2e-05,                      0,                  1.849,                 90.646,                 2.0862,             0.00033786,             0.00033786,             0.00033786
                     12,                 3.5441,                 13.708,                 4.0972,                  2e-05,                0.04167,                  2e-05,                      0,                  1.856,                 91.557,                 2.0884,             0.00033277,             0.00033277,             0.00033277
                     13,                 3.2911,                 13.658,                 4.0442,                  2e-05,                0.04167,                  2e-05,                      0,                 1.8617,                 90.828,                 2.0905,             0.00031221,             0.00031221,             0.00031221
                     14,                 2.4787,                 22.655,                  3.019,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8586,                 92.465,                 2.0898,             0.00027415,             0.00027415,             0.00027415
                     15,                 3.5959,                 11.665,                 4.0732,                  2e-05,                0.01786,                  2e-05,                  1e-05,                 1.8398,                 91.906,                  2.085,             0.00023608,             0.00023608,             0.00023608
                     16,                 3.3922,                 12.313,                 3.9793,                  2e-05,                0.01786,                  3e-05,                  1e-05,                 1.7951,                 89.673,                 2.0734,             0.00019802,             0.00019802,             0.00019802
                     17,                 3.3639,                 14.414,                 3.5787,                  2e-05,                0.01786,                  1e-05,                  1e-05,                 1.7212,                 87.439,                 2.0558,             0.00015995,             0.00015995,             0.00015995
                     18,                 3.1221,                 15.592,                 3.6107,                  2e-05,                0.01786,                  1e-05,                      0,                  1.655,                 85.896,                 2.0339,             0.00012189,             0.00012189,             0.00012189
                     19,                 2.6786,                 21.606,                 3.4158,                0.00158,                0.05952,                0.04242,                0.00424,                 1.5828,                 85.258,                 2.0406,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     20,                 3.6164,                 14.944,                  3.834,                0.00223,                0.10119,                0.03188,                0.00676,                 1.5445,                 85.116,                  2.026,             4.5756e-05,             4.5756e-05,             4.5756e-05
